,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
235,Scott Sutton,Oral Roberts,Southland,17,16,0.515,,,,1999-00,287,193,0.598,3,,,,287,193,0.598,3,,,,Oral Roberts,Summit,19,15,0.559,,,,1999-00,306,208,0.595,3,,,,306,208,0.595,3,,,,Oral Roberts,Summit,14,17,0.452,,,,1999-00,320,225,0.587,3,,,,320,225,0.587,3,,,,Oral Roberts,Summit,8,22,0.267,,,,1999-00,328,247,0.57,3,,,,328,247,0.57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
236,Dana Altman,Oregon,Pac-12,24,10,0.706,19,,Lost Third Round,2010-11,97,47,0.674,2,1,,,507,290,0.636,10,1,,,Oregon,Pac-12,26,10,0.722,,,Lost Third Round,2010-11,123,57,0.683,3,1,,,533,300,0.64,11,1,,,Oregon,Pac-12,31,7,0.816,,5,Lost Regional Final,2010-11,154,64,0.706,4,2,,,564,307,0.648,12,2,,,Oregon,Pac-12,33,6,0.846,5,9,Lost National Semifinal,2010-11,187,70,0.728,5,3,1,,597,313,0.656,13,3,1,,Oregon,Pac-12,23,13,0.639,,,,2010-11,210,83,0.717,5,3,1,,620,326,0.655,13,3,1,,N,
237,Craig Robinson,Oregon State,Pac-12,16,16,0.5,,,,2008-09,94,105,0.472,,,,,124,133,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
238,Ron Verlin,Pacific,WCC,18,16,0.529,,,,2013-14,18,16,0.529,,,,,18,16,0.529,,,,,Pacific,WCC,12,19,0.387,,,,2013-14,30,35,0.462,,,,,30,35,0.462,,,,,Pacific,WCC,8,20,0.286,,,,2013-14,38,55,0.409,,,,,38,55,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
239,Patrick Chambers,Penn State,Big Ten,16,18,0.471,,,,2011-12,38,59,0.392,,,,,80,87,0.479,1,,,,Penn State,Big Ten,18,16,0.529,,,,2011-12,56,75,0.427,,,,,98,103,0.488,1,,,,Penn State,Big Ten,16,16,0.5,,,,2011-12,72,91,0.442,,,,,114,119,0.489,1,,,,Penn State,Big Ten,15,18,0.455,,,,2011-12,87,109,0.444,,,,,129,137,0.485,1,,,,Penn State,Big Ten,26,13,0.667,,,,2011-12,113,122,0.481,,,,,155,150,0.508,1,,,,N,
240,Jerome Allen,Penn,Ivy,8,20,0.286,,,,2009-10,56,85,0.397,,,,,56,85,0.397,,,,,Penn,Ivy,9,19,0.321,,,,2009-10,65,104,0.385,,,,,65,104,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
241,Marty Wilson,Pepperdine,WCC,15,16,0.484,,,,1995-96,40,63,0.388,,,,,40,63,0.388,,,,,Pepperdine,WCC,18,14,0.562,,,,1995-96,58,77,0.43,,,,,58,77,0.43,,,,,Pepperdine,WCC,18,14,0.562,,,,1995-96,76,91,0.455,,,,,76,91,0.455,,,,,Pepperdine,WCC,9,22,0.29,,,,1995-96,85,113,0.429,,,,,85,113,0.429,,,,,Pepperdine,WCC,6,26,0.188,,,,1995-96,91,139,0.396,,,,,91,139,0.396,,,,,N,
242,Jamie Dixon,Pitt,ACC,26,10,0.722,,,Lost Third Round,2003-04,288,96,0.75,10,3,,,288,96,0.75,10,3,,,Pitt,ACC,19,15,0.559,,,,2003-04,307,111,0.734,10,3,,,307,111,0.734,10,3,,,Pitt,ACC,21,12,0.636,,,Lost First Round,2003-04,328,123,0.727,11,3,,,328,123,0.727,11,3,,,TCU,Big 12,24,15,0.615,,,,2016-17,24,15,0.615,,,,,352,138,0.718,11,3,,,TCU,Big 12,21,12,0.636,,,Lost First Round,2016-17,45,27,0.625,1,,,,373,150,0.713,12,3,,,N,
243,Eric Reveno,Portland,WCC,15,16,0.484,,,,2006-07,111,142,0.439,,,,,111,142,0.439,,,,,Portland,WCC,17,16,0.515,,,,2006-07,128,158,0.448,,,,,128,158,0.448,,,,,Portland,WCC,12,20,0.375,,,,2006-07,140,178,0.44,,,,,140,178,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
244,Tyler Geving,Portland State,Big Sky,17,15,0.531,,,,2009-10,69,85,0.448,,,,,69,85,0.448,,,,,Portland State,Big Sky,15,14,0.517,,,,2009-10,84,99,0.459,,,,,84,99,0.459,,,,,Portland State,Big Sky,13,18,0.419,,,,2009-10,97,117,0.453,,,,,97,117,0.453,,,,,Portland State,Big Sky,15,16,0.484,,,,2009-10,112,133,0.457,,,,,112,133,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
245,Byron Rimm,Prairie View,SWAC,11,23,0.324,,,,2006-07,99,156,0.388,,,,,99,156,0.388,,,,,Prairie View,SWAC,15,18,0.455,,,,2006-07,114,174,0.396,,,,,114,174,0.396,,,,,Prairie View,SWAC,1,18,0.053,,,,2006-07,115,192,0.375,,,,,115,192,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
246,Gregg Nibert,Presbyterian,Big South,6,26,0.188,,,,2007-08,63,151,0.294,,,,,63,151,0.294,,,,,Presbyterian,Big South,10,22,0.312,,,,2007-08,73,173,0.297,,,,,73,173,0.297,,,,,Presbyterian,Big South,11,20,0.355,,,,2007-08,84,193,0.303,,,,,84,193,0.303,,,,,Presbyterian,Big South,5,25,0.167,,,,2007-08,89,218,0.29,,,,,89,218,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
247,Mitch Henderson,Princeton,Ivy,21,9,0.7,,,,2011-12,58,32,0.644,,,,,58,32,0.644,,,,,Princeton,Ivy,16,14,0.533,,,,2011-12,74,46,0.617,,,,,74,46,0.617,,,,,Princeton,Ivy,22,7,0.759,,,,2011-12,96,53,0.644,,,,,96,53,0.644,,,,,Princeton,Ivy,23,7,0.767,,,Lost First Round,2011-12,119,60,0.665,1,,,,119,60,0.665,1,,,,Princeton,Ivy,13,16,0.448,,,,2011-12,132,76,0.635,1,,,,132,76,0.635,1,,,,N,
248,Ed Cooley,Providence,Big East,23,12,0.657,,,Lost Second Round,2011-12,57,44,0.564,1,,,,149,113,0.569,1,,,,Providence,Big East,22,12,0.647,,,Lost Second Round,2011-12,79,56,0.585,2,,,,171,125,0.578,2,,,,Providence,Big East,24,11,0.686,,,Lost Second Round,2011-12,103,67,0.606,3,,,,195,136,0.589,3,,,,Providence,Big East,20,13,0.606,,,,2011-12,123,80,0.606,4,,,,215,149,0.591,4,,,,Providence,Big East,21,14,0.6,,,Lost First Round,2011-12,144,94,0.605,5,,,,236,163,0.591,5,,,,N,
249,Matt Painter,Purdue,Big Ten,15,17,0.469,,,,2005-06,191,112,0.63,6,2,,,216,117,0.649,7,2,,,Purdue,Big Ten,21,13,0.618,,,Lost Second Round,2005-06,212,125,0.629,7,2,,,237,130,0.646,8,2,,,Purdue,Big Ten,26,9,0.743,23,12,Lost First Round,2005-06,238,134,0.64,8,2,,,263,139,0.654,9,2,,,Purdue,Big Ten,27,8,0.771,15,15,Lost Regional Semifinal,2005-06,265,142,0.651,9,3,,,290,147,0.664,10,3,,,Purdue,Big Ten,30,7,0.811,20,11,Lost Regional Semifinal,2005-06,295,149,0.664,10,4,,,320,154,0.675,11,4,,,N,
250,Tom Moore,Quinnipiac,MAAC,20,12,0.625,,,,2007-08,128,93,0.579,,,,,128,93,0.579,,,,,Quinnipiac,MAAC,15,15,0.5,,,,2007-08,143,108,0.57,,,,,143,108,0.57,,,,,Quinnipiac,MAAC,9,21,0.3,,,,2007-08,152,129,0.541,,,,,152,129,0.541,,,,,Quinnipiac,MAAC,10,21,0.323,,,,2007-08,162,150,0.519,,,,,162,150,0.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
251,Mike Jones,Radford,Big South,22,13,0.629,,,,2011-12,41,58,0.414,,,,,41,58,0.414,,,,,Radford,Big South,22,12,0.647,,,,2011-12,63,70,0.474,,,,,63,70,0.474,,,,,Radford,Big South,16,15,0.516,,,,2011-12,79,85,0.482,,,,,79,85,0.482,,,,,Radford,Big South,14,18,0.438,,,,2011-12,93,103,0.474,,,,,93,103,0.474,,,,,Radford,Big South,23,13,0.639,,,Lost First Round,2011-12,116,116,0.5,1,,,,116,116,0.5,1,,,,N,
252,Dan Hurley,Rhode Island,A-10,14,18,0.438,,,,2012-13,22,39,0.361,,,,,60,62,0.492,,,,,Rhode Island,A-10,23,10,0.697,,,,2012-13,45,49,0.479,,,,,83,72,0.535,,,,,Rhode Island,A-10,17,15,0.531,,,,2012-13,62,64,0.492,,,,,100,87,0.535,,,,,Rhode Island,A-10,25,10,0.714,23,,Lost Second Round,2012-13,87,74,0.54,1,,,,125,97,0.563,1,,,,Rhode Island,A-10,26,8,0.765,,,Lost Second Round,2012-13,113,82,0.579,2,,,,151,105,0.59,2,,,,N,
253,Ben Braun,Rice,CUSA,7,23,0.233,,,,2008-09,63,128,0.33,,,,,466,415,0.529,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
254,Chris Mooney,Richmond,A-10,19,14,0.576,,,,2005-06,166,132,0.557,2,1,,,184,144,0.561,2,1,,,Richmond,A-10,21,14,0.6,,,,2005-06,187,146,0.562,2,1,,,205,158,0.565,2,1,,,Richmond,A-10,16,16,0.5,,,,2005-06,203,162,0.556,2,1,,,221,174,0.559,2,1,,,Richmond,A-10,22,13,0.629,,,,2005-06,225,175,0.562,2,1,,,243,187,0.565,2,1,,,Richmond,A-10,12,20,0.375,,,,2005-06,237,195,0.549,2,1,,,255,207,0.552,2,1,,,N,
255,Kevin Baggett,Rider,MAAC,14,17,0.452,,,,2012-13,33,32,0.508,,,,,33,32,0.508,,,,,Rider,MAAC,21,12,0.636,,,,2012-13,54,44,0.551,,,,,54,44,0.551,,,,,Rider,MAAC,13,20,0.394,,,,2012-13,67,64,0.511,,,,,67,64,0.511,,,,,Rider,MAAC,18,15,0.545,,,,2012-13,85,79,0.518,,,,,85,79,0.518,,,,,Rider,MAAC,22,10,0.688,,,,2012-13,107,89,0.546,,,,,107,89,0.546,,,,,N,
256,Andrew Toole,Robert Morris,NEC,22,14,0.611,,,,2010-11,90,50,0.643,,,,,90,50,0.643,,,,,Robert Morris,NEC,20,15,0.571,,,Lost Second Round,2010-11,110,65,0.629,1,,,,110,65,0.629,1,,,,Robert Morris,NEC,10,22,0.312,,,,2010-11,120,87,0.58,1,,,,120,87,0.58,1,,,,Robert Morris,NEC,14,19,0.424,,,,2010-11,134,106,0.558,1,,,,134,106,0.558,1,,,,Robert Morris,NEC,16,17,0.485,,,,2010-11,150,123,0.549,1,,,,150,123,0.549,1,,,,N,
257,Eddie Jordan,Rutgers,AAC,12,21,0.364,,,,2013-14,12,21,0.364,,,,,12,21,0.364,,,,,Rutgers,Big Ten,10,22,0.312,,,,2013-14,22,43,0.338,,,,,22,43,0.338,,,,,Rutgers,Big Ten,7,25,0.219,,,,2013-14,29,68,0.299,,,,,29,68,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
258,Brian Katz,Sacramento State,Big Sky,14,16,0.467,,,,2008-09,56,118,0.322,,,,,56,118,0.322,,,,,Sacramento State,Big Sky,21,12,0.636,,,,2008-09,77,130,0.372,,,,,77,130,0.372,,,,,Sacramento State,Big Sky,14,17,0.452,,,,2008-09,91,147,0.382,,,,,91,147,0.382,,,,,Sacramento State,Big Sky,13,18,0.419,,,,2008-09,104,165,0.387,,,,,104,165,0.387,,,,,Sacramento State,Big Sky,7,25,0.219,,,,2008-09,111,190,0.369,,,,,111,190,0.369,,,,,N,
259,Anthony Latina,Sacred Heart,NEC,5,26,0.161,,,,2013-14,5,26,0.161,,,,,5,26,0.161,,,,,Sacred Heart,NEC,15,17,0.469,,,,2013-14,20,43,0.317,,,,,20,43,0.317,,,,,Sacred Heart,NEC,12,18,0.4,,,,2013-14,32,61,0.344,,,,,32,61,0.344,,,,,Sacred Heart,NEC,13,19,0.406,,,,2013-14,45,80,0.36,,,,,45,80,0.36,,,,,Sacred Heart,NEC,10,21,0.323,,,,2013-14,55,101,0.353,,,,,55,101,0.353,,,,,N,
260,Rob Krimmel,Saint Francis (PA),NEC,10,21,0.323,,,,2012-13,15,45,0.25,,,,,15,45,0.25,,,,,Saint Francis (PA),NEC,16,16,0.5,,,,2012-13,31,61,0.337,,,,,31,61,0.337,,,,,Saint Francis (PA),NEC,13,17,0.433,,,,2012-13,44,78,0.361,,,,,44,78,0.361,,,,,Saint Francis (PA),NEC,17,17,0.5,,,,2012-13,61,95,0.391,,,,,61,95,0.391,,,,,Saint Francis (PA),NEC,18,13,0.581,,,,2012-13,79,108,0.422,,,,,79,108,0.422,,,,,N,
261,Phil Martelli,St. Joseph's,A-10,24,10,0.706,,,Lost Second Round,1995-96,362,247,0.594,6,2,,,362,247,0.594,6,2,,,St. Joseph's,A-10,13,18,0.419,,,,1995-96,375,265,0.586,6,2,,,375,265,0.586,6,2,,,St. Joseph's,A-10,28,8,0.778,,,Lost Second Round,1995-96,403,273,0.596,7,2,,,403,273,0.596,7,2,,,St. Joseph's,A-10,11,20,0.355,,,,1995-96,414,293,0.586,7,2,,,414,293,0.586,7,2,,,St. Joseph's,A-10,16,16,0.5,,,,1995-96,430,309,0.582,7,2,,,430,309,0.582,7,2,,,N,
262,Jim Crews,Saint Louis,A-10,27,7,0.794,,25,Lost Third Round,2012-13,55,14,0.797,2,,,,408,363,0.529,6,,,,Saint Louis,A-10,11,21,0.344,,,,2012-13,66,35,0.653,2,,,,419,384,0.522,6,,,,Saint Louis,A-10,11,21,0.344,,,,2012-13,77,56,0.579,2,,,,430,405,0.515,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
263,Eran Ganot,Saint Mary's,WCC,3,2,0.6,,,,2013-14,3,2,0.6,,,,,3,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawaii,Big West,28,6,0.824,,,Lost Second Round,2015-16,28,6,0.824,1,,,,31,8,0.795,1,,,,Hawaii,Big West,14,16,0.467,,,,2015-16,42,22,0.656,1,,,,45,24,0.652,1,,,,Hawaii,Big West,17,13,0.567,,,,2015-16,59,35,0.628,1,,,,62,37,0.626,1,,,,N,
264,Randy Bennett,Saint Mary's,WCC,20,10,0.667,,,,2001-02,283,135,0.677,5,1,,,283,135,0.677,5,1,,,Saint Mary's,WCC,21,10,0.677,,,,2001-02,304,145,0.677,5,1,,,304,145,0.677,5,1,,,Saint Mary's,WCC,29,6,0.829,,,,2001-02,333,151,0.688,5,1,,,333,151,0.688,5,1,,,Saint Mary's,WCC,29,5,0.853,17,22,Lost Second Round,2001-02,362,156,0.699,6,1,,,362,156,0.699,6,1,,,Saint Mary's,WCC,30,6,0.833,22,25,,2001-02,392,162,0.708,6,1,,,392,162,0.708,6,1,,,N,
265,John Dunne,St. Peter's,MAAC,14,17,0.452,,,,2006-07,86,160,0.35,1,,,,86,160,0.35,1,,,,St. Peter's,MAAC,16,18,0.471,,,,2006-07,102,178,0.364,1,,,,102,178,0.364,1,,,,St. Peter's,MAAC,14,16,0.467,,,,2006-07,116,194,0.374,1,,,,116,194,0.374,1,,,,St. Peter's,MAAC,23,13,0.639,,,,2006-07,139,207,0.402,1,,,,139,207,0.402,1,,,,St. Peter's,MAAC,14,18,0.438,,,,2006-07,153,225,0.405,1,,,,153,225,0.405,1,,,,N,
266,Jason Hooten,Sam Houston State,Southland,24,11,0.686,,,,2010-11,72,60,0.545,,,,,72,60,0.545,,,,,Sam Houston State,Southland,26,9,0.743,,,,2010-11,98,69,0.587,,,,,98,69,0.587,,,,,Sam Houston State,Southland,18,16,0.529,,,,2010-11,116,85,0.577,,,,,116,85,0.577,,,,,Sam Houston State,Southland,21,13,0.618,,,,2010-11,137,98,0.583,,,,,137,98,0.583,,,,,Sam Houston State,Southland,21,15,0.583,,,,2010-11,158,113,0.583,,,,,158,113,0.583,,,,,N,
267,Bennie Seltzer,Samford,Southern,13,20,0.394,,,,2012-13,24,41,0.369,,,,,24,41,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
268,Bill Grier,San Diego,WCC,18,17,0.514,,,,2007-08,102,128,0.443,1,,,,102,128,0.443,1,,,,San Diego,WCC,15,16,0.484,,,,2007-08,117,144,0.448,1,,,,117,144,0.448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
269,Steve Fisher*,San Diego State,MWC,31,5,0.861,,13,Lost Regional Semifinal,1999-00,312,176,0.639,7,2,,,497,257,0.659,14,6,3,1,San Diego State,MWC,27,9,0.75,16,,Lost Third Round,1999-00,339,185,0.647,8,2,,,524,266,0.663,15,6,3,1,San Diego State,MWC,28,10,0.737,,,,1999-00,367,195,0.653,8,2,,,552,276,0.667,15,6,3,1,San Diego State,MWC,19,14,0.576,,,,1999-00,386,209,0.649,8,2,,,571,290,0.663,15,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,N,
270,Rex Walters,San Francisco,WCC,21,12,0.636,,,,2008-09,98,94,0.51,,,,,129,127,0.504,,,,,San Francisco,WCC,14,18,0.438,,,,2008-09,112,112,0.5,,,,,143,145,0.497,,,,,San Francisco,WCC,15,15,0.5,,,,2008-09,127,127,0.5,,,,,158,160,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
271,Dave Wojcik,San Jose State,MWC,7,24,0.226,,,,2013-14,7,24,0.226,,,,,7,24,0.226,,,,,San Jose State,MWC,2,28,0.067,,,,2013-14,9,52,0.148,,,,,9,52,0.148,,,,,San Jose State,MWC,9,22,0.29,,,,2013-14,18,74,0.196,,,,,18,74,0.196,,,,,San Jose State,MWC,14,16,0.467,,,,2013-14,32,90,0.262,,,,,32,90,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
272,Kerry Keating,Santa Clara,WCC,14,19,0.424,,,,2007-08,114,121,0.485,,,,,114,121,0.485,,,,,Santa Clara,WCC,14,18,0.438,,,,2007-08,128,139,0.479,,,,,128,139,0.479,,,,,Santa Clara,WCC,11,20,0.355,,,,2007-08,139,159,0.466,,,,,139,159,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
273,Horace Broadnax,Savannah State,MEAC,13,19,0.406,,,,2005-06,118,157,0.429,,,,,160,245,0.395,,,,,Savannah State,MEAC,9,22,0.29,,,,2005-06,127,179,0.415,,,,,169,267,0.388,,,,,Savannah State,MEAC,16,16,0.5,,,,2005-06,143,195,0.423,,,,,185,283,0.395,,,,,Savannah State,MEAC,13,16,0.448,,,,2005-06,156,211,0.425,,,,,198,299,0.398,,,,,Savannah State,MEAC,15,17,0.469,,,,2005-06,171,228,0.429,,,,,213,316,0.403,,,,,N,
274,Cameron Dollar,Seattle,WAC,13,17,0.433,,,,2009-10,61,88,0.409,,,,,61,88,0.409,,,,,Seattle,WAC,18,16,0.529,,,,2009-10,79,104,0.432,,,,,79,104,0.432,,,,,Seattle,WAC,15,17,0.469,,,,2009-10,94,121,0.437,,,,,94,121,0.437,,,,,Seattle,WAC,13,17,0.433,,,,2009-10,107,138,0.437,,,,,107,138,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
275,Kevin Willard,Seton Hall,Big East,17,17,0.5,,,,2010-11,66,66,0.5,,,,,111,115,0.491,,,,,Seton Hall,Big East,16,15,0.516,,,,2010-11,82,81,0.503,,,,,127,130,0.494,,,,,Seton Hall,Big East,25,9,0.735,,20,Lost First Round,2010-11,107,90,0.543,1,,,,152,139,0.522,1,,,,Seton Hall,Big East,21,12,0.636,,,Lost First Round,2010-11,128,102,0.557,2,,,,173,151,0.534,2,,,,Seton Hall,Big East,22,12,0.647,23,,Lost Second Round,2010-11,150,114,0.568,3,,,,195,163,0.545,3,,,,N,
276,Jimmy Patsos,Siena,MAAC,20,18,0.526,,,,2013-14,20,18,0.526,,,,,165,153,0.519,1,,,,Siena,MAAC,11,20,0.355,,,,2013-14,31,38,0.449,,,,,176,173,0.504,1,,,,Siena,MAAC,21,13,0.618,,,,2013-14,52,51,0.505,,,,,197,186,0.514,1,,,,Siena,MAAC,17,17,0.5,,,,2013-14,69,68,0.504,,,,,214,203,0.513,1,,,,Siena,MAAC,8,24,0.25,,,,2013-14,77,92,0.456,,,,,222,227,0.494,1,,,,N,
277,Matthew Graves,South Alabama,Sun Belt,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,,South Alabama,Sun Belt,12,21,0.364,,,,2013-14,23,41,0.359,,,,,23,41,0.359,,,,,South Alabama,Sun Belt,14,19,0.424,,,,2013-14,37,60,0.381,,,,,37,60,0.381,,,,,South Alabama,Sun Belt,14,18,0.438,,,,2013-14,51,78,0.395,,,,,51,78,0.395,,,,,South Alabama,Sun Belt,14,18,0.438,,,,2013-14,65,96,0.404,,,,,65,96,0.404,,,,,N,
278,Frank Martin,South Carolina,SEC,14,20,0.412,,,,2012-13,28,38,0.424,,,,,145,92,0.612,4,1,,,South Carolina,SEC,17,16,0.515,,,,2012-13,45,54,0.455,,,,,162,108,0.6,4,1,,,South Carolina,SEC,25,9,0.735,,,,2012-13,70,63,0.526,,,,,187,117,0.615,4,1,,,South Carolina,SEC,26,11,0.703,,,Lost National Semifinal,2012-13,96,74,0.565,1,1,1,,213,128,0.625,5,2,1,,South Carolina,SEC,17,16,0.515,,,,2012-13,113,90,0.557,1,1,1,,230,144,0.615,5,2,1,,N,
279,Murray Garvin,South Carolina State,MEAC,9,21,0.3,,,,2012-13,11,28,0.282,,,,,11,28,0.282,,,,,South Carolina State,MEAC,11,22,0.333,,,,2012-13,22,50,0.306,,,,,22,50,0.306,,,,,South Carolina State,MEAC,19,15,0.559,,,,2012-13,41,65,0.387,,,,,41,65,0.387,,,,,South Carolina State,MEAC,11,20,0.355,,,,2012-13,52,85,0.38,,,,,52,85,0.38,,,,,South Carolina State,MEAC,10,22,0.312,,,,2012-13,62,107,0.367,,,,,62,107,0.367,,,,,N,
280,Eddie Payne,USC Upstate,A-Sun,19,15,0.559,,,,2007-08,83,137,0.377,,,,,189,285,0.399,1,,,,USC Upstate,A-Sun,24,12,0.667,,,,2007-08,107,149,0.418,,,,,213,297,0.418,1,,,,USC Upstate,A-Sun,10,22,0.312,,,,2007-08,117,171,0.406,,,,,223,319,0.411,1,,,,USC Upstate,A-Sun,17,16,0.515,,,,2007-08,134,187,0.417,,,,,240,335,0.417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
281,Joey James,South Dakota,Summit,12,18,0.4,,,,2013-14,12,18,0.4,,,,,12,18,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
282,Scott Nagy,South Dakota State,Summit,19,13,0.594,,,,2005-06,140,144,0.493,2,,,,140,144,0.493,2,,,,South Dakota State,Summit,24,11,0.686,,,,2005-06,164,155,0.514,2,,,,164,155,0.514,2,,,,South Dakota State,Summit,26,8,0.765,,,Lost First Round,2005-06,190,163,0.538,3,,,,190,163,0.538,3,,,,Wright State,Horizon,20,12,0.625,,,,2016-17,20,12,0.625,,,,,210,175,0.545,3,,,,Wright State,Horizon,25,10,0.714,,,Lost First Round,2016-17,45,22,0.672,1,,,,235,185,0.56,4,,,,N,
283,Stan Heath,South Florida,AAC,12,20,0.375,,,,2007-08,97,130,0.427,1,,,,209,207,0.502,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
284,Dickey Nutt*,Southeast Missouri State,OVC,18,14,0.562,,,,2009-10,67,91,0.424,,,,,256,278,0.479,1,,,,Southeast Missouri State,OVC,13,17,0.433,,,,2009-10,80,108,0.426,,,,,269,295,0.477,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
285,Jim Yarbrough,Southeastern Louisiana,Southland,12,18,0.4,,,,2005-06,133,135,0.496,,,,,133,135,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
286,Roman Banks,Southern,SWAC,19,13,0.594,,,,2011-12,59,37,0.615,1,,,,59,37,0.615,1,,,,Southern,SWAC,18,17,0.514,,,,2011-12,77,54,0.588,1,,,,77,54,0.588,1,,,,Southern,SWAC,22,13,0.629,,,,2011-12,99,67,0.596,2,,,,99,67,0.596,2,,,,Southern,SWAC,15,18,0.455,,,,2011-12,114,85,0.573,2,,,,114,85,0.573,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
